titulo,director,anio,duracion,link_pelicula,letterboxd,tags,poster
Juana a las 12,Martín Shanly,2014,75,https://drive.google.com/file/d/1O2cT4lD6zzpXsOcnN6zJ8mkwqiMMcAIV/view,https://letterboxd.com/film/about-12/,,https://drive.google.com/uc?id=1nhfmtZ21IHRBswcsby_GH7-mH2rfX5hp
Arturo a los 30,Martín Shanly,2023,92,https://drive.google.com/file/d/1N0SS3pAtB_-3QgVXyNtar0Wdr8_HghIt/view,https://letterboxd.com/film/about-thirty/,#LGBT,https://drive.google.com/uc?id=1R9KfXlwz9sgH4MkQsFnRsJiXNs3xaEM9
Abuso de confianza,Mario C. Lugones,1950,77,https://drive.google.com/file/d/1gp3y8G0hiEz3xX4YNwFUJnZRDVHDq-2f/view,https://letterboxd.com/film/abuse-of-trust/,,https://drive.google.com/uc?id=1izggGd1LtH0-qObytyGeg1KOaBKoX8_y
Aconcagua,Leo Fleider,1964,73,https://drive.google.com/file/d/1E5KZuk_1E65D_9_xPe9OwHXCrt5qLNN5/view,https://letterboxd.com/film/aconcagua/,,https://drive.google.com/uc?id=1w9uN-_Ixnjtja5qns3XBYjyGKunf8bAY
Adán y la serpiente,Carlos Hugo Christensen,1946,72,https://drive.google.com/file/d/1xCUECRcpc7cBqtmIgdf3yJ-CgsDxVhPV/view,https://letterboxd.com/film/adan-y-la-serpiente/,,https://drive.google.com/uc?id=1hOAly7C3qGLQxp4Ni43KqeheilsZrum3
Adolescencia,Francisco Múgica,1942,86,https://drive.google.com/file/d/1TsZCGrfXrzYPi960S49Aw7bhESarGfUw/view,https://letterboxd.com/film/adolescence-1942/,,https://drive.google.com/uc?id=1c3qcEkd3rkHFViLgGxfPYpCuJ2SkF_9w
Aire libre,Anahí Berneri,2014,102,https://drive.google.com/file/d/1-2Csi8Y9A2ZwMrmTF5IDUKDioZLXMfjz/view,https://letterboxd.com/film/aire-libre/,,https://drive.google.com/uc?id=13_G0PfCrFYLn3mkOhOU95rQ5unoNvvbE
Álamos talados,Catrano Catrani,1960,102,https://drive.google.com/file/d/1YqCDnM4yO690rj3D5YwLSOqRGpd3sIrW/view,https://letterboxd.com/film/alamos-talados/,,https://drive.google.com/uc?id=1UjPe_Y0NemcKvq5MZsA7q-0-OzUPj-yQ
Alejandra,Carlos Schlieper,1956,86,https://mega.nz/folder/aK5imRrJ#hBLKlb3u58Owiu0qp8lnyQ,https://letterboxd.com/film/alejandra-1956/,,https://drive.google.com/uc?id=1vS1KG58dMI5kWwnCC_7U6VZ5W3C1NmsW
Alemania,María Zanetti,2023,87,https://drive.google.com/file/d/17LVRTD3GxgMjF_FEc-jpwFlJQXJsscVF/view,https://letterboxd.com/film/alemania-2023/,,https://drive.google.com/uc?id=1A55HNOITHeiIU5wT5qIDK7kGO8Xj5bMy
